clip_id,sentence
1IKLsLfTtLs_8-5-rgb_front,The other arm is lifted so you've got a nice bent elbow here.
1IRHEhx1lBs_10-5-rgb_front,It's very easy to start doing this.
1IRHEhx1lBs_13-5-rgb_front,Hip.
1IRHEhx1lBs_14-5-rgb_front,Step.
1IRHEhx1lBs_15-5-rgb_front,Hip.
1IRHEhx1lBs_16-5-rgb_front,Let's try it together.
1IRHEhx1lBs_17-5-rgb_front,Step.
1IRHEhx1lBs_18-5-rgb_front,Hip.
1IRHEhx1lBs_20-5-rgb_front,Hip.
1IRHEhx1lBs_22-5-rgb_front,Step.
1IRHEhx1lBs_23-5-rgb_front,You don't want your knees going out here right?
1IRHEhx1lBs_24-5-rgb_front,Step.
1IRHEhx1lBs_25-5-rgb_front,Knees together lift.
1IRHEhx1lBs_26-5-rgb_front,Step.
1IRHEhx1lBs_27-5-rgb_front,Lift.
1IRHEhx1lBs_28-5-rgb_front,Forward step.
1IRHEhx1lBs_29-5-rgb_front,Lift.
1IRHEhx1lBs_30-5-rgb_front,Step.
1IRHEhx1lBs_31-5-rgb_front,Lift.
1IRHEhx1lBs_32-5-rgb_front,Step.
1IRHEhx1lBs_33-5-rgb_front,Lift.
1IRHEhx1lBs_34-5-rgb_front,Slight angle very good.
1IRJXMx85Rg_1-5-rgb_front,Look at that.
1IRJXMx85Rg_13-5-rgb_front,"All right, here's our old one."
1IRJXMx85Rg_6-5-rgb_front,I'll say it three times.
1IRJXMx85Rg_7-5-rgb_front,Turbine shaft shield.
1IRJXMx85Rg_8-5-rgb_front,Shaft shield.
1IRrpQJQvI4_4-5-rgb_front,The first number is Nitrogen.
1IRrpQJQvI4_5-5-rgb_front,Why is it important?
1IRrpQJQvI4_6-5-rgb_front,Well Nitrogen helps your plant to grow.
1IRrpQJQvI4_7-5-rgb_front,It is the green and growing element.
1Ibh1eWsoug_3-5-rgb_front,We don't want the knees coming in.
1Ibh1eWsoug_6-5-rgb_front,Bottom needs to be in line with the kneecaps.
1Iv4aWWKhxg_2-5-rgb_front,It really just takes some practice.
1IzJ7lr9J6E_3-3-rgb_front,Let's get everything out of the way here.
1J3UAD2lU-g_6-5-rgb_front,And position it on top.
1KKlZKlWdTM_17-5-rgb_front,Just make sure your hands are clean.
1KTyhaoXjBE_11-5-rgb_front,"Okay, we're going to take the pin bones out of this filet as well."
1KTyhaoXjBE_6-5-rgb_front,You got to get into it.
1KWcAgqPvEw_0-5-rgb_front,Ok.
1KWcAgqPvEw_2-5-rgb_front,All the seams are undone.
1KWcAgqPvEw_26-5-rgb_front,"So, we'll do that in the next clip."
1KXI9v9nwz4_9-5-rgb_front,Alright.
1LQrmzrtOKk_1-5-rgb_front,Today we're going to take a look at inner panel replacement.
1LgVgklOYCQ_1-5-rgb_front,"It's called ""relaxed and confident body language."""
1LgVgklOYCQ_13-5-rgb_front,You never use this.
1LgVgklOYCQ_14-5-rgb_front,You never use this.
1LgVgklOYCQ_15-5-rgb_front,It's always as a matter of fact.
1LgVgklOYCQ_18-5-rgb_front,Your body is open.
1LgVgklOYCQ_19-5-rgb_front,It's relaxed.
1LgVgklOYCQ_22-5-rgb_front,"I'm not uncomfortable."""
1LgVgklOYCQ_5-5-rgb_front,"Usually, your legs are not crossed."
1LgVgklOYCQ_7-5-rgb_front,Open gestures are great like we discussed a little bit earlier.
1LjH--6h_rk_12-5-rgb_front,Will you lose some accuracy?
1LjH--6h_rk_13-5-rgb_front,Probably.
1LjH--6h_rk_15-5-rgb_front,"Have them put a plug in, three inches."
1LjH--6h_rk_16-5-rgb_front,Put on a grip.
1LjH--6h_rk_17-5-rgb_front,Practice with a longer driver.
1LjH--6h_rk_8-5-rgb_front,"Yes, most likely it will."
1Mn7LZ6xOX4_2-5-rgb_front,I like to use the black paper.
1Mn7LZ6xOX4_3-5-rgb_front,You can use a lighter colored paper.
1Mn7LZ6xOX4_4-5-rgb_front,"If you are using black, we need a light colored pencil just to see the outline."
1Mn7LZ6xOX4_5-5-rgb_front,"For the lighter, we can use anything."
1Mn7LZ6xOX4_8-5-rgb_front,We don't need our hanging materials.
1MvVj9F775U_1-5-rgb_front,"When we do that, is we need to take a bead."
1MvVj9F775U_6-5-rgb_front,It won't go through the hole.
1ND0o3AeO1k_10-5-rgb_front,So we're going to start with these.
1ND0o3AeO1k_7-5-rgb_front,They were using reed for this.
1NDBxRcroFc_5-5-rgb_front,This is a big one.
1NdnCBn6-F4_0-3-rgb_front,Hi!
1NdnCBn6-F4_11-3-rgb_front,Make sure you start out with knotless.
1NdnCBn6-F4_8-3-rgb_front,The strength on this leader is about 8 pound test.
1NnjqlLI_6s_3-8-rgb_front,"It's a history, a living history, paper, paper, paper."
1NnjqlLI_6s_5-8-rgb_front,"I'm Jan, see ya."
1Npqw3j6-w0_11-8-rgb_front,Now it's ready for the next step.
1NsGTF3dlIo_11-8-rgb_front,Now we've got 2 halves.
1NsGTF3dlIo_13-8-rgb_front,We've got a juicer.
1NsGTF3dlIo_14-8-rgb_front,You just want to press down.
1NsGTF3dlIo_15-8-rgb_front,"As we press down, turn either counterclockwise or clockwise."
1NsGTF3dlIo_16-8-rgb_front,It's up to you.
1NsGTF3dlIo_18-8-rgb_front,You just want to squeeze.
1NsGTF3dlIo_20-8-rgb_front,You want to make sure you squeeze all of it.
1NsGTF3dlIo_21-8-rgb_front,Keep turning.
1NsGTF3dlIo_23-8-rgb_front,Fresh lemon juice.
1NsGTF3dlIo_7-8-rgb_front,You just want to roll it.
1NsGTF3dlIo_8-8-rgb_front,Now you can see the lemon's kind of soft.
1NsGTF3dlIo_9-8-rgb_front,Give it a good squeeze.
1NuRoCJdJM4_2-8-rgb_front,It's not sufficient.
1OJx7Vfnr6w_1-8-rgb_front,We're going to take a look at how to do a triple drawback.
1Oj0xMGOmqc_10-8-rgb_front,You're going to use a hard plastic boot.
1Oj0xMGOmqc_6-8-rgb_front,In which those are called step ins.
1Oj0xMGOmqc_7-8-rgb_front,You have a prong on the side of your boot.
1Ot-mwXOTuQ_11-8-rgb_front,That's great.
1Ot-mwXOTuQ_2-8-rgb_front,Then I'm going to place a blanket underneath the tail bone for this next position.
1Ot-mwXOTuQ_5-8-rgb_front,So that's one variation.
1OzBoBBc4bw_1-8-rgb_front,Today we're going to be talking about buying a new car.
1OzBoBBc4bw_12-8-rgb_front,Edmunds.
1OzBoBBc4bw_6-8-rgb_front,Make sure that car offers you the gas mileage you're looking for and it also offers you the features you're looking for.
1P0oKY4FNyI_0-8-rgb_front,Hi!
1P0oKY4FNyI_11-8-rgb_front,Let's try a little bit harder now.
1P0oKY4FNyI_12-8-rgb_front,11x69.
1P0oKY4FNyI_15-8-rgb_front,Now we have 759.
1P0oKY4FNyI_17-8-rgb_front,"The more you practice, the better you're going to get."
1P0oKY4FNyI_7-8-rgb_front,Then we want to add 2 and 5 together to equal 7.
1P0oKY4FNyI_8-8-rgb_front,7 goes right between the 2 and the 5.
1P0oKY4FNyI_9-8-rgb_front,275 is the answer.
1P6n7Tv8oco_0-8-rgb_front,Hey welcome to my studio everybody.
1P6n7Tv8oco_1-8-rgb_front,My name is Lars Erik Robinson.
1P6n7Tv8oco_10-8-rgb_front,So her face was angled a little bit this way.
1P6n7Tv8oco_14-8-rgb_front,Coming right at you.
1P6n7Tv8oco_15-8-rgb_front,And then one going back.
1P6n7Tv8oco_16-8-rgb_front,So you can tell here this arm is bigger than this one here.
1P6n7Tv8oco_17-8-rgb_front,So it gives it a little bit more understanding that you're actually right there with them.
1P6n7Tv8oco_2-8-rgb_front,My company is LarsEr Arts All Around Art-tainment.
1P6n7Tv8oco_22-8-rgb_front,Especially on guys with big shoulder muscles.
1P6n7Tv8oco_9-8-rgb_front,And how am I going to have that relate to how her picture is.
1PCzfhknC_s_8-8-rgb_front,Most of us have combination.
1PD7HXermBM_10-8-rgb_front,Go for it!
1PESZk6BzQM_1-5-rgb_front,"That's right, the ears."
1PMwfe-N3_k_10-8-rgb_front,Then I'm filing the tip.
1PMwfe-N3_k_4-8-rgb_front,You could also do a round nail.
1PMwfe-N3_k_5-8-rgb_front,"You could do a straight square nail, where you have pointy ends."
1PO6_voQXoc_2-8-rgb_front,Now we're looking to have the hips directly in line with the shoulders.
1PO6_voQXoc_5-8-rgb_front,The next thing that you're able to do is release the knees.
1PO6_voQXoc_9-8-rgb_front,She's still asking the core of her body to do some work.
1PafdIFUsPU_3-5-rgb_front,There's also 100 grits.
1PafdIFUsPU_5-5-rgb_front,You can also find these at your local supply store.
1PhHBWErK9Q_15-8-rgb_front,It's looks like more imposing.
1PhHBWErK9Q_17-8-rgb_front,As the case maybe.
1PhHBWErK9Q_18-8-rgb_front,It changes everything.
1PhHBWErK9Q_20-8-rgb_front,"And it's not really clear, exactly why this is."
1PhHBWErK9Q_23-8-rgb_front,As the case may be.
1PhHBWErK9Q_25-8-rgb_front,And if you decide to be off on guard.
1PhHBWErK9Q_26-8-rgb_front,"And you know, break all the rules."
1PhHBWErK9Q_27-8-rgb_front,"You can frame your drawings, any way you like."
1PhHBWErK9Q_28-8-rgb_front,"However, if you want to be taken seriously."
1PhHBWErK9Q_29-8-rgb_front,You will follow the principle of the rule of thirds.
1PhHBWErK9Q_3-8-rgb_front,"It essentially is, basically this."
1PhHBWErK9Q_30-8-rgb_front,"Always keeping in mind, your nine separate framing boxes."
1PhHBWErK9Q_32-8-rgb_front,"That is essentially, what the rule of thirds is."
1PhHBWErK9Q_4-8-rgb_front,"You draw two imaginary lines, vertically."
1PhHBWErK9Q_5-8-rgb_front,"And two imaginary lines, horizontally in an image."
1PhHBWErK9Q_6-8-rgb_front,Drawing these lines creates nine separate boxes in an image.
1PmWOoJTEiw_12-8-rgb_front,You want to catch it and bring it in.
1PmWOoJTEiw_2-8-rgb_front,"First, we have to run a good pattern."
1PmWOoJTEiw_4-8-rgb_front,I want to talk about one strategy of making a catch.
1PmWOoJTEiw_6-8-rgb_front,You cannot try to make a catch to the side with a cradle hand position.
1PwvyT44-uE_19-8-rgb_front,Okay.
1PyZfKulLtI_13-8-rgb_front,"OK, there we go that will do it."
1PyZfKulLtI_3-8-rgb_front,So I am going to water them in really good.
1PyZfKulLtI_7-8-rgb_front,Parsley goes into our salads.
1PyZfKulLtI_8-8-rgb_front,Parsley goes into crackers that we make.
1Q1BxWGurrA_12-8-rgb_front,Wrong plant; wrong place.
1Q1BxWGurrA_13-8-rgb_front,Beware of what happens when the trees grow up.
1Q1BxWGurrA_15-8-rgb_front,Be careful.
1Q1BxWGurrA_3-8-rgb_front,The title of this clip is trees and puppies grow up.
1Q1BxWGurrA_5-8-rgb_front,Here's a good example of the wrong plant in the wrong place.
1Q1BxWGurrA_8-8-rgb_front,This will be easily 50 or 60 feet tall.
1Q1BxWGurrA_9-8-rgb_front,It will demolish this planter box.
1Q2BYTlbdiE_0-8-rgb_front,Hello!
1Q2BYTlbdiE_11-8-rgb_front,The side step is to get your body off center.
1Q2BYTlbdiE_13-8-rgb_front,That means that the attacker can still hit me.
1Q2BYTlbdiE_15-8-rgb_front,"The block, one, two, side step, move the body."
1Q2BYTlbdiE_16-8-rgb_front,O.k.
1Q2BYTlbdiE_17-8-rgb_front,"So Melissa, you're facing me, right?"
1Q2BYTlbdiE_18-8-rgb_front,And I'm the attacker.
1Q2BYTlbdiE_2-8-rgb_front,This is my assistant Melissa.
1Q2BYTlbdiE_21-8-rgb_front,O.k.
1Q2BYTlbdiE_22-8-rgb_front,Now out here and now left hand here.
1Q2BYTlbdiE_23-8-rgb_front,So these two movements are simultaneous.
1Q2BYTlbdiE_24-8-rgb_front,"Now she's going to step forward, her left foot."
1Q2BYTlbdiE_25-8-rgb_front,And lunge and push me off to the side.
1Q2BYTlbdiE_26-8-rgb_front,That's it.
1Q2BYTlbdiE_27-8-rgb_front,The idea with this block is to use your opponent's energy.
1Q2BYTlbdiE_28-8-rgb_front,"Meaning that, as I'm coming this way, right."
1Q2BYTlbdiE_29-8-rgb_front,"And you're doing one and two, three and push."
1Q2BYTlbdiE_3-8-rgb_front,And this is women's self defense tactics.
1Q2BYTlbdiE_31-8-rgb_front,"Again, that's it."
1Q2BYTlbdiE_32-8-rgb_front,"This is double outside block, women's self defense."
1Q2BYTlbdiE_8-8-rgb_front,"You're going to side step to the side, with your left foot."
1Q2BYTlbdiE_9-8-rgb_front,"And then, you're going to push to your right."
1Q7oQwL6QaQ_12-8-rgb_front,"So, Japan, occupied Japan, which one is it?"
1Q7oQwL6QaQ_13-8-rgb_front,Should I buy it?
1Q7oQwL6QaQ_3-8-rgb_front,Let?s make it about me.
1QBezkHsXd4_1-8-rgb_front,And there are some special considerations when competing in an open water swim.
1QBezkHsXd4_24-8-rgb_front,So those are some real key and specific things for when you tackle that open water swim.
1QBezkHsXd4_4-8-rgb_front,You need to practice swimming in your wet suit.
1QBezkHsXd4_8-8-rgb_front,It feels very different.
1QBezkHsXd4_9-8-rgb_front,It's very efficient.
1QIHG8XLXHg_12-5-rgb_front,It still isn't that easy.
1QIHG8XLXHg_14-5-rgb_front,"So if you do this, your toss will improve dramatically."
1QIHG8XLXHg_9-5-rgb_front,This is just a hanger.
1QJtPze0F3k_1-8-rgb_front,I'm going to talk about the history of the toothbrush.
1QJtPze0F3k_10-8-rgb_front,"So truthfully the smaller the toothbrush usually, the better."
1QQov46Mmvo_1-5-rgb_front,I will be your therapist for today.
1QT8l93Llx8_12-5-rgb_front,And we're making a huge impact.
1QcVn72JzLw_2-5-rgb_front,Just a little bit more.
1QeMNh_DAqo_0-5-rgb_front,I also sculpt in wood.
1QeMNh_DAqo_33-5-rgb_front,And my sketches are very simple.
1QeMNh_DAqo_37-5-rgb_front,And I want the legs to go down like this.
1Qz0SIXS3no_10-5-rgb_front,I am getting a lot of liquid out.
1Qz0SIXS3no_14-5-rgb_front,But it is wet.
1Qz0SIXS3no_15-5-rgb_front,So you just want to blot.
1Qz0SIXS3no_20-5-rgb_front,And be patient.
1Qz0SIXS3no_21-5-rgb_front,You want it dry as soon as possible.
1Qz0SIXS3no_26-5-rgb_front,Bring it back up.
1Qz0SIXS3no_29-5-rgb_front,"So, good job."
1Qz0SIXS3no_6-5-rgb_front,And just be patient and blot.
1Qz0SIXS3no_8-5-rgb_front,Just continue your blotting.
1Qz0SIXS3no_9-5-rgb_front,Okay?
1REXebJzhBs_0-5-rgb_front,"Okay, how to identify cardiac arrest."
1REXebJzhBs_10-5-rgb_front,You've already started the first two steps.
1REXebJzhBs_11-5-rgb_front,"First, you have early recognition."
1REXebJzhBs_12-5-rgb_front,"Second, you start early CPR."
1REXebJzhBs_5-5-rgb_front,Check for a pulse.
1RKbOiQngXo_6-5-rgb_front,But a top.
1RKbOiQngXo_7-5-rgb_front,"And there's, your front piece is one piece, and then your back piece is another piece."
1RKg0FfW0To_5-5-rgb_front,The next thing becomes technique.
1RKltss46fg_1-5-rgb_front,Next we come to shoes.
1RKltss46fg_14-5-rgb_front,Some scarecrows don't have shoes as I have already said.
1RKltss46fg_16-5-rgb_front,That would look a little bit funny.
1RKltss46fg_18-5-rgb_front,Why is that?
1RKltss46fg_2-5-rgb_front,You are going to want a good sturdy shoe.
1RKltss46fg_4-5-rgb_front,It is a shoe you would go hiking in.
1RKltss46fg_6-5-rgb_front,Okay maybe not quite that extreme but close.
1RKo1xJauj4_0-5-rgb_front,"Hi, this is David Duke."
1RKo1xJauj4_12-5-rgb_front,We can check that we're hooked one more time.
1RKo1xJauj4_8-5-rgb_front,And now we're into the wind.
1RKv7hJtf80_0-5-rgb_front,Hi welcome back.
1RQ3dFBCjmI_11-5-rgb_front,Do you want to work outside?
1RQ3dFBCjmI_12-5-rgb_front,Do you want to work nights?
1RQ3dFBCjmI_8-5-rgb_front,We spend so much time at work.
1RgGCJ0hw6k_11-5-rgb_front,Good.
1RgGCJ0hw6k_12-5-rgb_front,Keeping the hips square.
1RgGCJ0hw6k_14-5-rgb_front,Good.
1RgGCJ0hw6k_2-5-rgb_front,So she's going to find her long spine.
1RvUSobtOfk_2-5-rgb_front,"Now, you see this?"
1RvUSobtOfk_3-5-rgb_front,This is scrap paper.
1Rvc-TbUBJ0_3-5-rgb_front,"As you've noticed, there is the difference in two of the pads."
1Rvc-TbUBJ0_7-5-rgb_front,These two matched.
1Rvc-TbUBJ0_8-5-rgb_front,This is my inboard one.
1RxYvOvKHkU_12-5-rgb_front,Can you go longer in your duration?
1RxYvOvKHkU_13-5-rgb_front,Can you increase the intensity?
1RxYvOvKHkU_2-5-rgb_front,Simply find those activities that you really enjoy.
1RxYvOvKHkU_3-5-rgb_front,Is it dancing?
1RxYvOvKHkU_4-5-rgb_front,Is it swimming?
1RxYvOvKHkU_5-5-rgb_front,Is it walking?
1RxYvOvKHkU_6-5-rgb_front,Have you tried resistance training?
1S-FjorJFpI_5-5-rgb_front,That would be the first places I would go.
1SMnc4uRVLo_13-5-rgb_front,"So, let's go ahead and dip it in and check."
1SMnc4uRVLo_9-5-rgb_front,These are your result strips.
1SmCdI9u3Sg_1-5-rgb_front,We are going to turn this into vinyasa.
1SokWkmngI8_1-5-rgb_front,The next thing were going to do is assemble them.
1SokWkmngI8_11-5-rgb_front,"So, real quickly I'm going to do it again."
1SozYg3ZXKM_10-5-rgb_front,Very good.
1SozYg3ZXKM_12-5-rgb_front,Very good.
1SozYg3ZXKM_19-5-rgb_front,Pull it all the way around.
1SozYg3ZXKM_20-5-rgb_front,"And there it is, that's a front tuck."
1SozYg3ZXKM_3-5-rgb_front,Very good.
1SozYg3ZXKM_8-5-rgb_front,Very good.
1T2EUqlbTtk_2-5-rgb_front,So come on down to your mat.
1T7lJGCShG0_12-5-rgb_front,Look up for me.
1T7lJGCShG0_14-5-rgb_front,I can just use the foundation as a concealer.
1T7lJGCShG0_2-5-rgb_front,I'm using a very sheer foundation.
1T7lJGCShG0_20-5-rgb_front,Just make sure everything is completely blended.
1T7lJGCShG0_25-5-rgb_front,Don't use too much powder.
1T7lJGCShG0_3-5-rgb_front,Almost a tinted moisturizer.
1T7lJGCShG0_5-5-rgb_front,It's not a matifying foundation.
1TB2EBT2WQI_10-5-rgb_front,Just like that now.
1TB2EBT2WQI_5-5-rgb_front,This is always a problem.
1TU3WpD2Oj0_0-5-rgb_front,Now we're going to decorate our boat.
1TU3WpD2Oj0_5-5-rgb_front,Permanent marker.
1TU3WpD2Oj0_7-5-rgb_front,I'm using a blue color now.
1TUhpDtbOck_1-5-rgb_front,Now we already have a mounted rod here.
1TUhpDtbOck_12-5-rgb_front,Now we simply close this bale up.
1TUhpDtbOck_2-5-rgb_front,This is a spinning outfit.
1TUhpDtbOck_4-5-rgb_front,So it's a nice balance.
1TUhpDtbOck_5-5-rgb_front,It's easy to cast like that.
1TUhpDtbOck_7-5-rgb_front,This is a line bale.
1Tix6cnQko4_10-5-rgb_front,You want to keep them nice and even.
1Tix6cnQko4_11-5-rgb_front,"So as you bend, you're going to press into the floor."
1Tix6cnQko4_13-5-rgb_front,Good.
1Tix6cnQko4_16-5-rgb_front,So you want it to be very natural looking.
1Tix6cnQko4_3-5-rgb_front,Let's start with the more subtle version of it.
1Tix6cnQko4_7-5-rgb_front,So it's going to be on the downbeat.
1TlNisOTK9Q_10-5-rgb_front,See how he comes out really wide.
1TlNisOTK9Q_14-5-rgb_front,So it's as simple as just keeping your horse in that turn.
1TlNisOTK9Q_4-5-rgb_front,Watch how I stay committed to this turn.
1TlNisOTK9Q_6-5-rgb_front,Then I allow him to go forward.
1TlNisOTK9Q_9-5-rgb_front,Watch where he goes out.
1TulVSuotyY_13-5-rgb_front,Touch your chin.
1TulVSuotyY_14-5-rgb_front,Touch your nose.
1TulVSuotyY_15-5-rgb_front,Do it on the other side.
1TulVSuotyY_17-5-rgb_front,And close your eyes please.
1TulVSuotyY_3-5-rgb_front,And to go on with your day.
1TulVSuotyY_8-5-rgb_front,Make sure you blend.
1Tvy-LEjj0w_3-5-rgb_front,You really are going to want to avoid sodas and juices that have a lot of sugar in them.
1Ty3qyrcp-I_1-5-rgb_front,We're still preparing the surface.
1Ty3qyrcp-I_11-5-rgb_front,You could actually use anything.
1Ty3qyrcp-I_15-5-rgb_front,"Let's see, I'm just going to crumple up another little piece."
1Ty3qyrcp-I_16-5-rgb_front,Just kind of jam it in there really good.
1Ty3qyrcp-I_24-5-rgb_front,Okay.
1TymrHMv7nE_1-5-rgb_front,We're using a larger placement stones.
1TymrHMv7nE_13-5-rgb_front,Interactive.
1UAQ4pUqRwo_1-3-rgb_front,There's three ways you can be involved or not involved in the Union.
1UAQ4pUqRwo_10-3-rgb_front,The last level is Non-Union.
1UAQ4pUqRwo_11-3-rgb_front,You might get there.
1UAQ4pUqRwo_8-3-rgb_front,You gotta work really hard.
1UAQ4pUqRwo_9-3-rgb_front,"You go there, you show up and you might not get seen."
1UB3Hyum1m4_10-5-rgb_front,We have a straight edge.
1UB3Hyum1m4_11-5-rgb_front,"Now, this straight edge is not to measure with, remember."
1UB3Hyum1m4_14-5-rgb_front,We give you pencils.
1UB3Hyum1m4_3-5-rgb_front,Remember the mat guide that we had?
1UB3Hyum1m4_4-5-rgb_front,We have a mat guide.
1UBFtrCAL1c_0-5-rgb_front,Now just some simple rules to follow.
1UBFtrCAL1c_6-5-rgb_front,You want to plan your message carefully.
1UBFtrCAL1c_8-5-rgb_front,Keep everything personal out of it.
1UD6MhuYox0_8-5-rgb_front,"It's rest, rejuvenation."
1UE7-4mORi0_1-5-rgb_front,This is my solution.
1UE7-4mORi0_11-5-rgb_front,"But, you want to be really careful."
1UE7-4mORi0_4-5-rgb_front,This little whip works really well.
1UE7-4mORi0_7-5-rgb_front,I want it to be clear.
1UEZfuSvYuA_0-5-rgb_front,Hi this is Sean Hobson.
1UG52nvLLVA_1-5-rgb_front,"And, I'm going to have Jim here demonstrating the Headstand."
1UG52nvLLVA_11-5-rgb_front,You want to get a good distance there.
1UG52nvLLVA_12-5-rgb_front,"Now, bringing the hands forward."
1UG52nvLLVA_13-5-rgb_front,"Hold on, hold on."
1UG52nvLLVA_14-5-rgb_front,Coming forward.
1UG52nvLLVA_16-5-rgb_front,Make sure you don't let them come out and apart.
1UG52nvLLVA_17-5-rgb_front,Because this is your base for your Headstand.
1UG52nvLLVA_18-5-rgb_front,Alright.
1UG52nvLLVA_20-5-rgb_front,"Now, notice his fingers aren't clinched."
1UG52nvLLVA_21-5-rgb_front,They're nicely relaxed and the thumbs are kind of braced on the back of the head.
1UG52nvLLVA_22-5-rgb_front,Now go ahead and tuck your toes.
1UG52nvLLVA_23-5-rgb_front,Straighten the legs out.
1UG52nvLLVA_25-5-rgb_front,And just lift.
1UG52nvLLVA_26-5-rgb_front,See how he just lifts up the knees?
1UG52nvLLVA_29-5-rgb_front,Beautiful.
1UG52nvLLVA_31-5-rgb_front,Keep pressing into your tripod.
1UG52nvLLVA_32-5-rgb_front,Keeping pulling in through your belly.
1UG52nvLLVA_33-5-rgb_front,And you get a beautiful Headstand.
1UG52nvLLVA_35-5-rgb_front,It relieves the cardiovascular system.
1UG52nvLLVA_37-5-rgb_front,This way it's just slowly flowing down gently.
1UG52nvLLVA_4-5-rgb_front,"So, I'm going to have him come into Child Pose first."
1UG52nvLLVA_6-5-rgb_front,Find that nice calming center.
1UG52nvLLVA_9-5-rgb_front,Very important.
1UWz92TxRLA_4-5-rgb_front,We do certain things in life.
1UWz92TxRLA_5-5-rgb_front,We act a certain way.
1UWz92TxRLA_6-5-rgb_front,We have a certain background.
1UWz92TxRLA_7-5-rgb_front,We look a certain way.
1UWz92TxRLA_8-5-rgb_front,We speak a certain way.
1UWz92TxRLA_9-5-rgb_front,We walk a certain way.
1UhvxT9ri7U_7-5-rgb_front,There.
1Ull4-M-sh8_0-5-rgb_front,"OK, so now in this clip we're going to talk about idling."
1Ull4-M-sh8_10-5-rgb_front,You don't really have to do that.
1Ull4-M-sh8_4-5-rgb_front,Find that other pedal.
1UvJ0mvrOPw_0-5-rgb_front,Our super hero's starting to really shape up.
1UvJ0mvrOPw_13-5-rgb_front,Let's put this in here.
1UvJ0mvrOPw_15-5-rgb_front,It's very dynamic.
1UvJ0mvrOPw_19-5-rgb_front,Because this is supposed to be more of a rope like substance.
1UvJ0mvrOPw_21-5-rgb_front,The last thing is kind of a bit of a background.
1UvJ0mvrOPw_24-5-rgb_front,You should show some dynamic flow.
1UvJ0mvrOPw_26-5-rgb_front,It makes it a little more interesting.
1UvJ0mvrOPw_27-5-rgb_front,Let's make it snowing behind him.
1UvxqsvKq3o_0-5-rgb_front,With my little sister Ashley.
1UvxqsvKq3o_12-5-rgb_front,Add some hair.
1UvxqsvKq3o_14-5-rgb_front,What are the next fingers that grab?
1UvxqsvKq3o_17-5-rgb_front,Where does this top one go?
1UvxqsvKq3o_19-5-rgb_front,"Okay, what am I going to do next?"
1UvxqsvKq3o_2-5-rgb_front,"I told you earlier that it was a little loose, as you can see that hair's a little bit loose."
1VHODMDPRbo_10-5-rgb_front,I'm taking my time.
1VHODMDPRbo_13-5-rgb_front,"Don't you stray, that's all it's saying."
1VHODMDPRbo_14-5-rgb_front,And it doesn't cost you anything.
1VHODMDPRbo_15-5-rgb_front,It isn't a contract.
1VHODMDPRbo_17-5-rgb_front,All it's saying its just a loyalty agreement.
1VHODMDPRbo_5-5-rgb_front,Don't be afraid.
1VQZlvupNgo_0-5-rgb_front,Hi!
1VQZlvupNgo_14-5-rgb_front,Don't worry if things don't finish off completely.
1VQZlvupNgo_2-5-rgb_front,Hi!
1VQZlvupNgo_8-5-rgb_front,I could dig down almost a foot bare handed.
1VbIAziTNoE_1-5-rgb_front,"Now, generally, when you give your cues, you're going to want to be pretty close to the front of the prompter."
1VbIAziTNoE_11-5-rgb_front,"Now, you don't say that, if they're talking."
1VbIAziTNoE_14-5-rgb_front,They're going to be a little mad at you.
1VbIAziTNoE_15-5-rgb_front,Your director's going to be a little mad at you.
1VbIAziTNoE_16-5-rgb_front,But it does happen.
1VbIAziTNoE_23-5-rgb_front,You want to be as discreet as possible.
1VbIAziTNoE_24-5-rgb_front,You don't want people to even know that you're there.
1VbIAziTNoE_6-5-rgb_front,"So, you usually want to have it like that."
1VbIAziTNoE_7-5-rgb_front,Hold it up there for about two or three seconds.
1VbIAziTNoE_8-5-rgb_front,Then you can take it away.
1Ve6jGdkdRY_12-5-rgb_front,So they'll be cut outs down the side of the leg.
1Ve6jGdkdRY_9-5-rgb_front,Not so much fringe hanging down.
1VmLO8XFzqE_7-5-rgb_front,Next we're going to do a stretch.
1Vofqi_ZdaU_0-5-rgb_front,Alright.
1Vofqi_ZdaU_6-5-rgb_front,It's used the least.
1Vq_uqeckF8_1-8-rgb_front,This is a lot of fish.
1Vq_uqeckF8_12-8-rgb_front,"And that?s a pretty, pretty uniform thickness."
1Vq_uqeckF8_14-8-rgb_front,That will be one serving.
1Vq_uqeckF8_18-8-rgb_front,Okay.
1Vq_uqeckF8_2-8-rgb_front,This filet probably weighs about three pounds.
1Vq_uqeckF8_20-8-rgb_front,And you know could cut that in half and these would be two more portions.
1Vq_uqeckF8_22-8-rgb_front,"A thicker filet, once again, I'm going to cut it straight down."
1Vq_uqeckF8_23-8-rgb_front,"Very thick filet, hard to cook evenly."
1Vq_uqeckF8_26-8-rgb_front,Okay?
1Vq_uqeckF8_27-8-rgb_front,Do the same thing in the head area.
1Vq_uqeckF8_3-8-rgb_front,Okay?
1Vq_uqeckF8_31-8-rgb_front,We want to sell this whole fish.
1Vq_uqeckF8_32-8-rgb_front,We want to eat this whole fish.
1Vq_uqeckF8_33-8-rgb_front,"And now, we have two more filets."
1Vq_uqeckF8_4-8-rgb_front,You can't eat that much fish.
1Vq_uqeckF8_5-8-rgb_front,One person won't be served this much fish.
1VrnikyRfO0_2-5-rgb_front,He is going to teach you how to pick the right ones.
